id,PyEGo,DockerizeMe,pipreqs,PyEGo-s2,PyEGo-s3
aad8a37114825b0ce1a5bc48bf5f3cac,√,√,×,√,√
168c9d74b988391e702aac5f4aa69e41,√,√,√,√,√
1363730,√,√,×,√,√
6152106,×,×,×,×,×
10011921,√,×,×,×,√
6680676,×,×,×,×,×
2792956,√,√,×,√,√
c648d753e7d0176ff172,√,×,×,√,√
8577232,√,√,×,√,√
1e58686b6d5193cbaf30,×,×,×,×,×
587011a65d05f067a29ce9c22894d1d2,√,√,×,√,√
1091026,×,×,×,×,×
7447067,√,√,×,√,√
130583,√,√,×,√,√
478f9ba38afb1bf5f5613bfe46eb82ce,√,√,×,√,√
859473,√,√,×,√,√
6097195,×,×,×,×,×
f6df442d0250f265409c,√,√,×,√,√
4713392,×,×,×,×,×
4222418,×,×,×,×,×
562f25bbcf20691217b8,√,√,×,√,√
342989,×,×,×,×,×
e41abdd59c5308eacf84,×,×,×,×,×
966387,×,×,×,×,×
5862530,√,×,×,√,√
2942374,√,√,×,√,√
1760854,√,√,×,√,√
4243336,√,×,√,√,√
4522091,√,√,×,√,√
403306854d457c284d02,×,√,√,×,×
9874480,√,×,×,×,√
6776391,√,×,×,√,√
10281460,√,×,×,√,√
1253332,√,√,√,√,√
1323194,×,×,×,×,×
780263,√,√,×,√,√
539a9ec008b1e5b3b7fd,×,×,×,×,×
2213915,×,×,×,×,√
c28329f12711a914c7a8cbe6eeb947c0,×,×,×,×,×
ad16c57cf48eb95a4b63,√,√,×,√,√
b470324dc5c81cef8ae24fd1d3fd4e59,×,√,×,×,√
354b90d59faf8b0d758f74eae3a511e2,×,×,×,×,×
f15921b2257af1db953f,√,×,×,√,√
1473120,×,×,×,×,×
6168003,√,√,×,√,√
999228,√,√,√,√,√
996771,√,√,×,×,√
3938253,√,√,×,√,√
3012318,×,×,×,×,×
9771f75e3f16ba5daafb,√,×,×,√,×
4d834d429763e953a40c,√,×,×,√,√
1590178,×,×,×,×,×
5e9a7c0d46cfdfe00104,×,×,×,×,×
3166d6123bd26c066c462328bebcf0c0,×,×,×,×,×
667e61d2f101f2f04542,√,√,×,√,√
94e623123f20566d158569a2ef3b25a2,×,×,×,×,×
3163938,×,√,×,×,×
2522574,×,×,×,×,×
8c9644f9666d60cad37b,×,√,√,×,×
8ff161505721b6c4ab25ccfe7996fd1a,×,×,×,×,×
1388243,√,√,×,√,√
d52d9ba44541fabaf4b012f4e62d675b,√,√,×,√,√
2395528ca82e1a9b1b5f34391f00e19c,√,√,×,√,×
6334787,×,×,×,×,×
b3f329868934710fbc81218ce1d6d722,×,×,×,×,×
b9768b4eefe679c988ce,×,×,×,×,×
6b9bae1310f2ee6b47ba3663bdcb1ded,×,×,×,×,×
d692487c9ed35938da376f3b58d91206,×,×,×,×,×
4059061,×,×,×,×,×
8fa6b37265d5394dd7a4,√,√,√,√,√
643f812a275a9e0c75048aab6988a92c,√,√,×,√,√
745868fb26102298e837,√,√,√,√,√
9956ec93a07ca4e9ba5bc415b014bcca,×,√,×,×,×
5781308,√,×,×,√,√
1124bb02a9fd4abce3d86caf2f950cb2,×,√,×,×,×
1d878d0401b28b281eb75016ed29f2ee,×,×,×,×,×
9fffe8ba08e378e3d027610921c51a78,×,×,×,×,×
641dc6b15155e600135d,×,√,×,×,×
5780124,×,×,×,×,×
6532334,×,√,×,×,×
1251716,√,×,×,√,√
7b75093ec0d5ecc8d95e,√,×,×,√,√
8555297,×,×,×,×,×
d887f01c563a60554360bb5ae07cd1b0,√,×,×,√,√
977777,√,×,√,×,√
2152643,√,×,×,√,√
11538913,×,×,×,×,×
247d1f1e86fa3749429791cf457052e2,√,×,√,√,√
831611,√,×,×,√,√
6553a21faade20f72e9f,×,×,×,×,×
4711568,√,√,×,√,√
2358089,×,×,×,×,×
5642247,×,×,×,×,√
4110897,×,×,×,×,×
e0defc252f665b2b51e8,×,×,×,×,×
6000407,√,√,×,√,√
b8a7b7be344e447e7ee6625fe2fdd765,×,×,×,×,×
2a1df455e7643926739e934e910cbf2e,√,√,×,√,√
749788,×,×,×,×,×
d039e69e97afbf1b863b,×,×,×,×,×
2856099,√,×,×,√,√
3c76bc174844948c5f98,√,√,×,√,√
1109153,√,√,√,√,√
8877450,×,×,×,×,×
2635074,×,×,×,×,×
2691939,×,×,×,×,×
c26b2dd5c2bdeaf6d7479a68bd7023bb,×,√,×,√,√
7230348,√,√,√,√,√
5091825,×,×,×,×,×
7814472,×,√,×,×,×
4c4323f90f74f079b50d9a689fa8a448,√,×,×,√,√
1358794,×,×,×,×,×
4716919,√,√,×,√,√
660303,×,√,×,×,×
8838751,×,×,×,×,×
1229770,×,×,×,×,×
1d5b3ad08201b7df48c7f25a169d0021,×,√,×,×,×
4a4e7e700c34c04160b93aa03a14861c,×,×,×,×,×
2031484,×,√,×,×,×
7977492,×,×,×,×,×
276a2b26cab5bc22d882,×,×,×,×,×
4174069,×,×,×,×,×
398429347c96e98aba88,×,×,×,×,×
445785,×,√,×,×,×
2909661,×,√,×,×,×
c063bddb9b8d17a037695d748db4f592,×,√,×,×,×
542786,√,√,×,√,√
2310005,×,×,×,×,×
8668000,√,×,×,√,√
5998853,√,√,×,√,√
9676416,√,×,√,√,√
5886984,×,×,×,×,×
4134185,×,×,×,×,×
2890739,√,×,×,√,√
4034439,×,×,×,√,×
c9f42c81c53b276b6560,×,×,×,×,×
f55c4ce19598b2b345ef,×,√,×,×,×
989074,×,×,√,×,×
c8e62ef8cb9515d64df4,√,×,×,√,√
3685134,√,√,×,√,√
2021781,√,√,×,√,√
540687,×,√,√,×,×
1423116,×,×,×,×,×
ac5f50d1409954c38681353fb6c6921b,×,×,×,×,×
4260442,√,×,×,√,√
2019037,×,×,×,×,√
3af51fd2d11ddcad7f16,×,×,×,×,×
58e015dd9ff33049da5a,×,×,×,×,×
1451300,×,√,×,×,×
1720032,√,×,×,√,√
3078465,×,×,×,×,×
833151,√,√,×,√,√
1435555,√,×,√,×,√
3454877,√,×,×,×,×
4586359,×,×,×,×,×
5534008,√,√,×,√,√
1234843,×,√,×,×,×
1382972,√,√,×,√,√
0115e0ce312f26ff59f4fbf4f5821ca2,×,√,×,×,×
41d15424e7989b936c1609b53edd1390,√,×,×,×,×
a5fb23f096d7b0c3880e1622938d0901,√,×,×,√,√
1cae669defce037511ada4e0ed01b3cd,√,×,×,√,√
504768e05fda49a6e3338e798ae1cddd,√,√,×,×,×
9000222,√,×,×,√,√
9cc23ce7c1e5c9e4379e,×,×,×,×,×
f11258583ffcc4728eb71adc0f38e832,√,×,×,√,×
2632394,×,×,×,×,×
2011426,√,√,×,√,√
e99c114a5b33cd2da538,×,×,×,×,×
1229685,√,√,×,√,√
97d0fb82c3894f56809a,√,×,×,√,√
8736338,×,×,×,×,×
5459536,√,√,×,√,√
037e4134d8271c0de71b838a461e7ac1,√,×,×,√,√
2816295,√,√,×,√,√
426829,√,√,×,√,√
1cd6ce82490d2c0f2e0a,×,×,×,×,×
5344084,√,√,×,√,√
1096373,×,×,×,×,×
47e1d07b136c316bfb33c880ca910e8c,√,×,×,√,×
7804540,√,×,√,×,√
3341591,×,×,×,×,×
9667052,√,√,√,√,√
b4ea0034839ccbc2aa03,×,×,×,×,×
876324,×,×,×,×,×
3b71a120ae7789956ef8,√,√,×,√,√
2901479,×,×,×,×,×
3094847,√,√,×,√,√
ac9170132e5abfc5381353428e70f1d9,×,×,×,×,×
d11c77c5565482e965d1919291044470,×,×,×,×,×
6e1016cc188104d123676ccef3264981,×,×,×,×,×
1638546,×,×,×,×,×
4276757,√,√,×,√,√
1307521,√,×,×,×,√
4b984557676d2d6c92a6,√,×,×,√,√
6e56d947ceaacdebb7fd3a88ed89cb6c,×,×,×,×,×
1835224,√,√,×,√,√
7689218,√,×,√,√,√
539928493c4e74b3ec112f4cf4a6df91,×,×,×,×,×
642535b8baeaedb02a56,×,×,×,×,×
5008118,√,√,√,√,√
2c0d9e1a0012065bb56c,×,×,×,×,×
106c49a3ae6d420937aa,√,×,×,√,√
7716005,√,×,×,√,√
5b62847bf934785119ffb16be636e073,×,×,×,×,×
10938795,×,×,×,×,×
3210264,√,×,×,√,√
934a8308a4ec09e2e0756a313a915622,√,×,×,√,√
1766791,√,×,×,√,√
242176c5bdb282b0a327,×,×,×,×,×
feb86d4bdd9a658c122a706f26ba7e1e,√,×,√,√,√
5b581d774fc8500325f7,×,×,×,×,×
8abd37bf2d60cce6e01d,√,×,×,√,×
d03a49767c7c307be5ed,√,×,×,√,√
5099161,√,√,√,√,√
1072977,√,×,×,√,√
5215968,√,×,×,×,√
7eca8b9f0ff5b3bfb742,√,×,×,√,√
5478382,×,×,×,×,×
c362f0ad488e3b289394,×,×,×,×,×
4c5dc5b2b267b43bb4c399ca9115c3f8,√,×,×,√,√
5303446,√,√,√,√,√
a027a9fc5aac66e6a382,×,×,×,×,×
4074260,×,√,×,×,×
769687,√,×,×,√,√
8ac8be9010ebfa59c599d7915e9a7a47,×,×,√,×,×
908ef5f4fa162f15b3b8,√,√,√,√,×
922973,√,×,√,√,√
1943426,×,×,×,×,×
2866253,√,√,×,√,√
c6936d219db8e6635d25,×,×,×,×,×
ec169727def8eb09b44fff84f93f1496,×,×,×,×,×
a56d5446416f5ad2bbac,×,×,×,×,×
4176564,√,√,×,√,√
3844261,×,×,×,×,×
5796677,√,×,×,√,√
4230847,√,×,×,√,√
6019350,√,×,×,√,√
b85fcfd4a0479810e6aa,√,×,×,√,√
fbb19b73fa25423f02e8,√,×,×,√,×
7ec5bf797308279dc587,√,√,×,×,√
485977,√,√,√,√,√
518b0c9564e500b4b50f,√,√,×,×,×
2660685,×,×,×,×,×
1702293,×,√,×,×,×
619473,×,×,×,×,×
1059647,×,×,×,×,×
809993,×,×,×,×,×
771052,√,√,×,√,√
b0eae211db963fe56c0c55773e6a16c0,√,√,×,√,×
ec8f1689bfde3ce9a920,√,×,√,√,√
4684561,√,√,×,√,√
ff2f97d91c9bed820c15,√,√,×,√,√
3d9ba175038a3f2e7de3794fa303f1ee,×,×,×,×,×
5973156,√,√,×,√,√
5443399,×,×,×,×,×
e37a85fb0258b045c005ca3db9cbc7f6,√,√,×,×,√
cadedd0dd0d4c966462b,√,×,√,√,√
5521734,√,√,×,√,√
db7b6db7035dd48e5902,×,×,×,×,×
7344542,√,√,×,√,√
9345872,×,×,×,×,×
2628382,√,√,×,×,√
3485205,×,×,×,×,√
4461572,×,×,×,×,×
1367378,×,×,×,×,×
ee9151b0ad985ca348cd,×,×,√,×,×
aa64ddf6109414291030,√,×,×,√,×
8be20f6256f9fd474c05,×,×,×,×,×
ec88cbdce3cdbac7b8d5,√,×,×,√,√
d91a0983140acbb8bc6455f58cbf45cb,×,×,×,×,×
8bfa8e25f36e6f619247203d1bc0291b,×,×,×,×,×
4c47dc94cc6054fe1398,√,√,√,√,√
9901745,√,×,×,√,√
8659759,√,√,×,√,√
71b14c4beab12998b6d1,√,√,√,√,√
5691375,√,×,×,√,√
1509946,×,×,×,×,×
5719341,×,×,×,×,×
8621775,×,×,×,×,×
27bbd6895c0afb314879,√,×,×,√,√
5352608,√,×,×,√,√
1074124,√,×,√,√,√
781740,√,√,×,√,√
cb0833a03a7d30c6d6e0,×,×,×,×,×
7228939,×,×,×,×,×
6576933,√,×,×,√,√
4712723,√,√,×,√,√
1264102,×,√,×,×,×
486793ad61db4c1dec9d,×,×,×,×,×
4504341,×,×,×,×,×
2351079,√,√,×,√,√
95f97485ada5b47693ca,×,√,×,×,×
5606474,√,√,√,√,√
ead9898bd3c973c40429,√,√,×,√,√
1e7c794842755683162b,√,×,×,√,√
2872d7f994d192188970408980267e6e,√,×,×,√,√
c3c474a04d7c0cd8ddeb,√,√,×,×,√
21b4442b7e7f36f6a17b,√,×,×,√,×
9be3d2aa4930ecd8e536,√,×,×,√,√
651080,√,√,×,√,√
6625609,×,×,×,×,×
271862,×,×,×,×,×
5658529,√,×,×,√,√
3227267,√,√,×,√,√
62d629216e19906c53d3,√,√,√,√,×
77d02d8f2f09e27de08b,×,×,×,×,×
e5fe0a832872c2b1cebe473c7cf6fb07,√,×,×,√,√
7dc87b8d1dc16b025e7019113cc2de93,√,×,×,√,√
50ffa966dbb6a1296320705890fcb5cf,×,×,×,×,×
1773870,×,×,×,×,×
6085344,×,√,×,×,×
969ea467e870b68963f3,×,×,×,×,×
540f615dd9d54de47dc52b0ca60522c1,×,×,×,×,×
fdff82cc02b161d0141d,√,√,×,×,√
805439,×,×,×,×,×
3cefcc92891c4f1571f8,×,×,×,×,×
b87ffb502890909aea2eb449643d5bc7,√,×,×,√,√
3972601,√,√,×,√,√
701416,×,×,×,×,×
39c2f27b581720482bc0,√,√,×,√,√
2623926,√,√,×,√,√
044682e76def583a12e6c09209c664a1,×,√,×,×,×
5073235,×,×,×,×,×
4582282,×,×,×,×,×
1433794,√,√,×,√,√
4cd70e9515ab722b2bce,×,×,×,×,×
7236266,×,×,×,×,×
5623772,√,√,×,√,√
c2dfe5772ba3cd16c1be17ba42b7db66,×,×,×,×,×
a9de2ef498a09747bbf673ddf6ea4843,×,×,×,×,×
045c887b6ccdf0edf4648da0c40bcc12,√,×,×,√,√
8973947,×,×,×,×,×
5420020,√,√,×,√,√
4131398,√,√,×,√,√
4604508,×,×,×,×,×
e6e53cbe679d3ec77e25,×,×,×,×,×
5f59050155c3159c2185,×,×,×,×,×
2025129,√,√,×,√,√
3772157,√,√,×,√,√
5189575,√,√,×,√,√
1104507,√,×,×,√,×
